ticker,name,sector,exchange,yfinance_symbol,universe_rank
SILO,PT Siloam International Hospitals Tbk,UNKNOWN,IDX,SILO.JK,71
GGRM,PT Gudang Garam Tbk,UNKNOWN,IDX,GGRM.JK,72
TBIG,PT Tower Bersama Infrastructure Tbk,UNKNOWN,IDX,TBIG.JK,73
JPFA,PT Japfa Comfeed Indonesia Tbk,UNKNOWN,IDX,JPFA.JK,74
NISP,PT Bank OCBC NISP Tbk,UNKNOWN,IDX,NISP.JK,75
SUPA,PT Super Bank Indonesia Tbk,UNKNOWN,IDX,SUPA.JK,76
ARCI,PT Archi Indonesia Tbk,UNKNOWN,IDX,ARCI.JK,77
AKRA,PT AKR Corporindo Tbk,UNKNOWN,IDX,AKRA.JK,78
TINS,PT TIMAH Tbk,UNKNOWN,IDX,TINS.JK,79
BTPN,PT Bank SMBC Indonesia Tbk,UNKNOWN,IDX,BTPN.JK,80
ITMG,PT Indo Tambangraya Megah Tbk,UNKNOWN,IDX,ITMG.JK,81
MAPI,PT. Mitra Adiperkasa Tbk,UNKNOWN,IDX,MAPI.JK,82
FAPA,PT FAP Agri Tbk,UNKNOWN,IDX,FAPA.JK,83
BINA,PT Bank Ina Perdana Tbk,UNKNOWN,IDX,BINA.JK,84
GIAA,PT. Garuda Indonesia (Persero) Tbk,UNKNOWN,IDX,GIAA.JK,85
TOWR,PT Sarana Menara Nusantara Tbk.,UNKNOWN,IDX,TOWR.JK,86
PNBN,PT Bank Pan Indonesia Tbk,UNKNOWN,IDX,PNBN.JK,87
CBDK,PT Bangun Kosambi Sukses Tbk,UNKNOWN,IDX,CBDK.JK,88
MIKA,PT Mitra Keluarga Karyasehat Tbk,UNKNOWN,IDX,MIKA.JK,89
FILM,PT.MD Entertainment Tbk,UNKNOWN,IDX,FILM.JK,90
SRTG,PT Saratoga Investama Sedaya Tbk,UNKNOWN,IDX,SRTG.JK,91
BNBR,PT Bakrie & Brothers Tbk,UNKNOWN,IDX,BNBR.JK,92
RISE,PT Jaya Sukses Makmur Sentosa Tbk,UNKNOWN,IDX,RISE.JK,93
JSMR,PT Jasa Marga (Persero) Tbk,UNKNOWN,IDX,JSMR.JK,94
MKPI,PT Metropolitan Kentjana Tbk,UNKNOWN,IDX,MKPI.JK,95
TKIM,PT Pabrik Kertas Tjiwi Kimia Tbk,UNKNOWN,IDX,TKIM.JK,96
SOHO,PT Soho Global Health Tbk,UNKNOWN,IDX,SOHO.JK,97
MDIY,PT Daya Intiguna Yasa Tbk,UNKNOWN,IDX,MDIY.JK,98
AVIA,PT Avia Avian Tbk,UNKNOWN,IDX,AVIA.JK,99
ARKO,PT Arkora Hydro Tbk,UNKNOWN,IDX,ARKO.JK,100
APIC,PT Pacific Strategic Financial Tbk,UNKNOWN,IDX,APIC.JK,101
BBTN,PT Bank Tabungan Negara (Persero) Tbk,UNKNOWN,IDX,BBTN.JK,102
BUVA,PT Bukit Uluwatu Villa Tbk,UNKNOWN,IDX,BUVA.JK,103
